item-name	listing-id	seller-sku	price	quantity	open-date	item-note	item-condition	product-id	market
"The Voices of Marrakesh [LARGE PRINT]  by Canetti, Eilas"	0327R058051	14-501099	299.38	2	2004-03-27 10:33:21 PST		11	1852900040	amazon
Towards Prolongation of the Healthy Life Span: Practical Approaches to...	0327R604577	14-311708	216.65	1	2004-03-27 10:30:51 PST		11	157331109X	alibris
Career Information Center  by	0327J610011	17-503207	205.6	2	2004-03-27 11:14:31 PST		11	28974522	half
"Heads of State and Government [Hardcover]  by Da Graca, John"	0624R310573	74-500122	164.13	1	2004-06-24 06:40:18 PST	Bamm! This Is A Great Book!	11	1561592692	ebay
"One Nation, Indivisible: The Civil Rights Challenge for the 1990s [Paperback..."	0327H506733	11-308585	139.49	1	2004-03-27 10:26:56 PST		11	962286508	abebooks
"College Basketball's National Championships [Hardcover]  by Brenner, Morgan G."	0419T782185	BB-300183	138.52	1	2004-04-19 08:18:12 PST	Same Day Shipping!  100% Customer Satisfaction! Some shelf wear	1	081083474X	amazon
"Communicative Pragmatism [Hardcover]  by Rescher, Nicholas"	0327F056503	39-315702	120.14	1	2004-03-27 10:16:49 PST	GREAT GIFT!!!!!!	11	847690903	alibris
Tratamiento Del Agua Por Procesos De Membrana  by American Water Works...	0327W556803	25-300352	112	1	2004-03-27 10:29:47 PST		11	8448112067	half
"Crazy for Rivers  by Barich, Bill"	0401B377290	53-405349	109.48	1	2004-04-01 08:23:40 PST	no dj  Excellent Gift.  Great Buy!   May Have Small Remainder Mark	11	1558219250	ebay
Year by Year in the Rock Era : Events and Conditions Shaping the Rock...	0611A239578	73-500592	104.91	1	2004-06-11 13:59:01 PST	Bamm! This Is A Great Book!	11	313234566	abebooks
"Littleton Waller Tazewell  by Peterson, Norma Lois"	0327R714449	52-400003	104.62	5	2004-03-27 10:17:44 PST	New! Excellent Gift. Great Buy!	11	081390983X	amazon
"A new kind of killer, an old kind of death  by Melville, Jennie"	0419F918461	BB-300205	99.89	1	2004-04-19 08:20:22 PST	Same Day Shipping!  100% Customer Satisfaction! Some shelf wear	1	340127767	alibris
"Metaphysics (Dimensions of Philosophy Series) [Hardcover]  by Van Inwagen, Peter"	0831B101448	93-304968	98.53	1	2004-08-31 11:26:17 PST	No DJ  GREAT BUY!! GREAT GIFT!	11	813365872	half
Guns and Brooches: Australian Army Nursing from the Boer War to the Gulf War...	0327A460070	25-41239	97.75	1	2004-03-27 10:34:25 PST	small cease in cover	11	195540840	ebay
A Concordance to the Plays of William Congreve (The Cornell Concordances...	0327W757631	40-316718	96.39	1	2004-03-27 10:16:37 PST		11	801407672	abebooks
The British Marxist Historians: An Introductory Analysis [Hardcover]  by Kaye...	0327W223770	52-400067	94.49	3	2004-03-27 10:16:56 PST	New! Excellent Gift. Great Buy!	11	312127332	amazon
"AIDS in the Uk: The Making of a Policy, 1981-1994 [Hardcover]  by Berridge..."	0327B148296	25-40794	93.49	1	2004-03-27 10:38:52 PST		11	198204728	alibris
Perlys Toronto Map [Unknown Binding]  by	0615B015622	73-502329	92.17	1	2004-06-15 09:58:34 PST	Bamm! This Is A Great Book!	11	1894720040	invalid
"Readings in Macroeconomics [Paperback]  by Jenkinson, Tim"	0327A397372	25-40899	89.69	1	2004-03-27 10:26:04 PST		11	198776292	alibris
"Essays in Appreciation [Hardcover]  by Ricks, Christopher"	0510F873173	BB-300378	86.25	1	2004-05-10 11:43:15 PST	Same Day Shipping!  100% Customer Satisfaction! GREAT BUY!!!!-GREAT BUY!!!!--MAY HAVE SMALL REMAINDER MARK	11	198183445	half
"Trollope and the Church of England [Hardcover]  by Durey, Jill"	0327B023295	53-403834	84.89	1	2004-03-27 10:16:48 PST	Excellent Gift. Great Buy!	11	033398790X	ebay
Legionellae Control in Health Care Facilities: A Guide for Minimizing Risk...	0327A049141	40-316684	78.62	1	2004-03-27 10:16:39 PST		11	964992647	abebooks
Ancient China [Hardcover]  by Scarpari	0625W804076	12-310361	76.52	2	2004-06-25 14:02:47 PST	"No DJ,"	11	8880954474	amazon
Making China Policy: Lessons from the Bush and Clinton Administrations...	0327L792066	23-602195	73.1	1	2004-03-27 10:16:40 PST		11	074250963X	alibris
McSe Windows 2000 Server Training Pack: (Exam 70-215) [Paperback]  by Syngress	0327J329450	37-405291	72.96	2	2004-03-27 10:17:46 PST		11	007222245X	amazon
